Name,WFH %,Presence %,SL %
Gregory Carr,100.00%,52.38%,0
Bo Cordova,21.43%,66.67%,0
Ana Little,0.00%,71.43%,0.047619047619047616
Madelynn Gray,6.67%,71.43%,0
Roman Colon,20.00%,71.43%,0
Jonah Hamilton,11.76%,80.95%,0.047619047619047616
Trystan Ortega,0.00%,80.95%,0
Phoenix Brady,0.00%,85.71%,0
Will Mahoney,0.00%,85.71%,0
Janelle Raymond,0.00%,87.50%,0
Miya Hampton,2.70%,88.10%,0
Caylee Meadows,15.79%,90.48%,0
Dean Mclaughlin,0.00%,90.48%,0
Demarcus Gordon,0.00%,90.48%,0
Ella Roth,10.53%,90.48%,0.047619047619047616
Grace Stone,5.26%,90.48%,0
Jase Ingram,0.00%,90.48%,0
Kenley Marsh,0.00%,90.48%,0
Mckayla Parker,0.00%,90.48%,0.09523809523809523
Nick Orozco,15.79%,90.48%,0
Salvatore Hendrix,0.00%,90.48%,0.047619047619047616
Weston Horton,0.00%,90.48%,0
Andrew Cummings,40.00%,95.24%,0
April Ayers,0.00%,95.24%,0
Ayanna Atkins,5.00%,95.24%,0
Cason David,5.00%,95.24%,0.023809523809523808
Chad Macias,20.00%,95.24%,0
Chris Frye,40.00%,95.24%,0
Emma Freeman,15.00%,95.24%,0
Faith Hamilton,0.00%,95.24%,0
Hailee Fitzpatrick,0.00%,95.24%,0
Hillary Kirk,0.00%,95.24%,0
Iris Woodard,0.00%,95.24%,0
Jessie Carrillo,5.00%,95.24%,0
Joel Cruz,100.00%,95.24%,0
Karma Reeves,0.00%,95.24%,0
Kaylah Schultz,10.00%,95.24%,0
Konner Henson,0.00%,95.24%,0
London Kim,0.00%,95.24%,0
Macie Callahan,10.00%,95.24%,0.023809523809523808
Miley Combs,0.00%,95.24%,0
Myla Klein,0.00%,95.24%,0
Peter Pandey,0.00%,95.24%,0
Ryann Guerrero,0.00%,95.24%,0
Rylee Mullins,0.00%,95.24%,0
Sofia Solis,0.00%,95.24%,0
Tucker Austin,0.00%,95.24%,0
Xiomara Ruiz,0.00%,95.24%,0
Adriel Pace,0.00%,100.00%,0
Adyson Moyer,4.76%,100.00%,0
Boston Morse,0.00%,100.00%,0
Briley Orr,4.76%,100.00%,0
Ciara Allison,0.00%,100.00%,0
Cristofer Bernard,0.00%,100.00%,0
Dallas Weeks,0.00%,100.00%,0
Dominique Benjamin,0.00%,100.00%,0
Esperanza Irwin,0.00%,100.00%,0
Finnegan Gilbert,9.52%,100.00%,0
Greta Horton,4.76%,100.00%,0
Gustavo Ritter,100.00%,100.00%,0
Isiah Small,0.00%,100.00%,0
Jarvis Singh,0.00%,100.00%,0
Jayce Fuentes,0.00%,100.00%,0
Josh Sharp,0.00%,100.00%,0
Jovani Pope,28.57%,100.00%,0
Kaley Fitzpatrick,28.57%,100.00%,0
Loki Lal,0.00%,100.00%,0
Lyric Bartlett,4.76%,100.00%,0
Marquis Wyatt,0.00%,100.00%,0
Maximus Mckenzie,100.00%,100.00%,0
Mekhi Singleton,0.00%,100.00%,0
Miles Fields,0.00%,100.00%,0
Nehemiah Diaz,0.00%,100.00%,0
Nevaeh Waller,4.76%,100.00%,0
Rey Novak,0.00%,100.00%,0
Rodrigo Price,0.00%,100.00%,0
Thanos Thakur,0.00%,100.00%,0
Titus Andersen,0.00%,100.00%,0
Tori Shannon,0.00%,100.00%,0
